Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2022-03-11T20:34:00Z,BTCUSDT,38629.09,-0.02419174,Market,Filled,-934.5049017, 
2022-03-11T20:34:00Z,BTCUSDT,0,0.02419174,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-11T21:27:00.0000000Z 
2022-03-11T20:34:00Z,BTCUSDT,38899.49,0.02419174,Stop Limit,Filled,941.0463482,Stop Market 
2022-03-11T21:30:00Z,BTCUSDT,38851.78,0.02387487,Market,Filled,927.5811968, 
2022-03-11T21:30:00Z,BTCUSDT,0,-0.02386532,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-13T11:51:00.0000000Z 
2022-03-11T21:30:00Z,BTCUSDT,38610.22,-0.02386532,Stop Limit,Filled,-921.4452556,Stop Market 
2022-03-13T13:34:00Z,BTCUSDT,38875.67,0.02369847,Market,Filled,921.2938992, 
2022-03-13T13:34:00Z,BTCUSDT,0,-0.02368899,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-13T20:15:00.0000000Z 
2022-03-13T13:34:00Z,BTCUSDT,38636.47,-0.02368899,Stop Limit,Filled,-915.2589515,Stop Market 
2022-03-14T01:12:00Z,BTCUSDT,38180.34,0.0239706,Market,Filled,915.205658, 
2022-03-14T01:12:00Z,BTCUSDT,0,-0.02396101,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-14T01:42:00.0000000Z 
2022-03-14T01:12:00Z,BTCUSDT,37920.03,-0.02396101,Stop Limit,Filled,-908.602218,Stop Market 
2022-03-14T03:19:00Z,BTCUSDT,38009.17,-0.02389058,Market,Filled,-908.0611166, 
2022-03-14T03:19:00Z,BTCUSDT,0,0.02389058,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-14T04:07:00.0000000Z 
2022-03-14T03:19:00Z,BTCUSDT,38251.28,0.02389058,Stop Limit,Filled,913.8452649,Stop Market 
